"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"f:\project\github\curriculum-design-2020\project-webUI\src\App.vue", "Vue", 0, 57, 0, 2, 59
"f:\project\github\curriculum-design-2020\project-webUI\src\components\accountManage.vue", "Vue", 0, 549, 0, 3, 552
"f:\project\github\curriculum-design-2020\project-webUI\src\components\addStudent.vue", "Vue", 0, 217, 0, 2, 219
"f:\project\github\curriculum-design-2020\project-webUI\src\components\addTeacher.vue", "Vue", 0, 202, 0, 2, 204
"f:\project\github\curriculum-design-2020\project-webUI\src\components\addTopic.vue", "Vue", 0, 137, 0, 3, 140
"f:\project\github\curriculum-design-2020\project-webUI\src\components\allTeacher.vue", "Vue", 0, 94, 0, 2, 96
"f:\project\github\curriculum-design-2020\project-webUI\src\components\allTopic.vue", "Vue", 0, 86, 0, 2, 88
"f:\project\github\curriculum-design-2020\project-webUI\src\components\applyManage.vue", "Vue", 0, 234, 0, 2, 236
"f:\project\github\curriculum-design-2020\project-webUI\src\components\applyManageRecord.vue", "Vue", 0, 89, 0, 2, 91
"f:\project\github\curriculum-design-2020\project-webUI\src\components\applyRecord.vue", "Vue", 0, 93, 0, 2, 95
"f:\project\github\curriculum-design-2020\project-webUI\src\components\guideStudents.vue", "Vue", 0, 91, 0, 3, 94
"f:\project\github\curriculum-design-2020\project-webUI\src\components\importStudent.vue", "Vue", 0, 64, 0, 2, 66
"f:\project\github\curriculum-design-2020\project-webUI\src\components\importTeacher.vue", "Vue", 0, 72, 0, 2, 74
"f:\project\github\curriculum-design-2020\project-webUI\src\components\myTeacher.vue", "Vue", 0, 95, 0, 2, 97
"f:\project\github\curriculum-design-2020\project-webUI\src\components\myTopic.vue", "Vue", 0, 96, 0, 2, 98
"f:\project\github\curriculum-design-2020\project-webUI\src\components\studentTopicApply.vue", "Vue", 0, 183, 0, 3, 186
"f:\project\github\curriculum-design-2020\project-webUI\src\components\teacherTopicApply.vue", "Vue", 0, 146, 0, 3, 149
"f:\project\github\curriculum-design-2020\project-webUI\src\components\topicManage.vue", "Vue", 0, 241, 0, 2, 243
"f:\project\github\curriculum-design-2020\project-webUI\src\components\userInfo.vue", "Vue", 0, 426, 0, 10, 436
"f:\project\github\curriculum-design-2020\project-webUI\src\main.js", "JavaScript", 14, 0, 0, 3, 17
"f:\project\github\curriculum-design-2020\project-webUI\src\router\index.js", "JavaScript", 26, 0, 0, 5, 31
"f:\project\github\curriculum-design-2020\project-webUI\src\views\login.vue", "Vue", 0, 163, 43, 4, 210
"f:\project\github\curriculum-design-2020\project-webUI\src\views\main.vue", "Vue", 0, 292, 0, 26, 318
"Total", "-", 40, 3627, 43, 89, 3799
